year,not_inception_total,income,capitalvalue,segment,yield,total
2001,0.1029744,0.083,"4,083,826,193",Calgary,0.120797748,0.097692404
2001,0.1325298,0.094,"4,046,247,976",Montreal,0.106351187,0.129758936
2001,0.1094941,0.079,"15,354,876,560",Toronto,0.126501414,0.105669073
2001,0.0804971,0.088,"5,334,162,588",Vancouver,0.113539984,0.083417787
2001,0.0902494,0.102,"1,250,033,855",Edmonton,0.098067963,0.091921058
2001,0.1266928,0.097,"1,953,355,841",Ottawa,0.1032917,0.152601843
2002,0.0818269,0.088,"5,229,550,617",Calgary,0.113119357,0.091896371
2002,0.1014232,0.091,"4,750,962,390",Montreal,0.109797084,0.119371661
2002,0.0952549,0.084,"17,737,500,331",Toronto,0.118971987,0.101870692
2002,0.0698568,0.089,"5,525,179,446",Vancouver,0.1118188,0.078466729
2002,0.1379957,0.102,"1,526,316,508",Edmonton,0.098480447,0.108455574
2002,0.107166,0.098,"2,303,348,725",Ottawa,0.101545729,0.135867906
2003,0.0784373,0.086,"5,558,235,531",Calgary,0.116448326,0.088290953
2003,0.0650589,0.084,"4,988,900,583",Montreal,0.119052296,0.104623099
2003,0.0828438,0.08,"17,872,960,319",Toronto,0.125011876,0.0967644
2003,0.0618679,0.084,"5,659,596,818",Vancouver,0.119176443,0.074015171
2003,0.0881429,0.092,"1,571,637,542",Edmonton,0.108727443,0.10300207
2003,0.118039,0.099,"2,145,977,139",Ottawa,0.10057964,0.131085927
2004,0.1075695,0.088,"5,176,203,365",Calgary,0.113294677,0.092321501
2004,0.066616,0.083,"4,597,013,780",Montreal,0.121183772,0.096510635
2004,0.0701891,0.079,"18,281,182,511",Toronto,0.127131357,0.091115302
2004,0.104624,0.08,"5,943,050,439",Vancouver,0.125616621,0.080387854
2004,0.1118469,0.092,"1,892,176,778",Edmonton,0.108326283,0.104858268
2004,0.1242988,0.09,"2,308,585,686",Ottawa,0.111083957,0.129653652
2005,0.2120228,0.085,"6,831,111,940",Calgary,0.118269994,0.11225521
2005,0.1078793,0.077,"5,889,762,754",Montreal,0.129647204,0.098479379
2005,0.133279,0.075,"20,939,843,115",Toronto,0.133594288,0.098333758
2005,0.1483697,0.078,"6,830,836,309",Vancouver,0.128825804,0.091914779
2005,0.1670678,0.092,"2,199,572,693",Edmonton,0.108744587,0.115434
2005,0.164611,0.082,"2,724,372,096",Ottawa,0.121576852,0.135656913
2006,0.2987763,0.074,"9,269,812,634",Calgary,0.134685758,0.138096923
2006,0.1753056,0.07,"6,751,681,388",Montreal,0.142590905,0.109535946
2006,0.1491663,0.071,"24,485,549,483",Toronto,0.141055462,0.10572016
2006,0.2354737,0.071,"8,482,414,085",Vancouver,0.140226297,0.11208022
2006,0.288195,0.08,"2,845,336,917",Edmonton,0.125072229,0.139485297
2006,0.1549447,0.074,"3,575,996,682",Ottawa,0.13520365,0.138493914
2007,0.2409709,0.065,"11,471,906,343",Calgary,0.152940043,0.150876139
2007,0.1767873,0.065,"8,196,647,129",Montreal,0.152932792,0.117992784
2007,0.1408107,0.065,"28,521,006,166",Toronto,0.153661524,0.110186604
2007,0.2312114,0.064,"10,389,779,275",Vancouver,0.156546705,0.12677938
2007,0.303086,0.068,"4,355,928,798",Edmonton,0.146842016,0.159382408
2007,0.1385417,0.07,"4,020,449,583",Ottawa,0.143522678,0.138500073
2008,0.1488019,0.063,"14,160,952,875",Calgary,0.158402542,0.150638898
2008,0.1122714,0.061,"9,159,488,778",Montreal,0.162964919,0.117337423
2008,0.1011896,0.062,"32,047,567,034",Toronto,0.160759298,0.109154668
2008,0.16884,0.057,"12,036,115,571",Vancouver,0.174652965,0.131508658
2008,0.2222681,0.06,"5,595,068,026",Edmonton,0.166992581,0.166402371
2008,0.1259226,0.065,"4,767,551,204",Ottawa,0.154756838,0.137055571
2009,-0.0304133,0.067,"13,763,052,924",Calgary,0.149226781,0.130610886
2009,-0.0519652,0.069,"8,066,468,445",Montreal,0.144132925,0.098665192
2009,-0.0214439,0.066,"31,592,888,871",Toronto,0.15119375,0.094994582
2009,-0.0215529,0.061,"11,568,334,332",Vancouver,0.163318101,0.11476668
2009,0.0066281,0.062,"6,237,766,959",Edmonton,0.162220211,0.148911055
2009,-0.0028253,0.071,"4,592,886,958",Ottawa,0.140855585,0.121849155
2010,-0.0035358,0.074,"13,524,830,498",Calgary,0.135016904,0.117405229
2010,0.0722892,0.07,"7,958,847,050",Montreal,0.143100004,0.096184485
2010,0.0592145,0.067,"31,685,317,933",Toronto,0.149332855,0.091615835
2010,0.0752202,0.065,"11,433,720,695",Vancouver,0.15423102,0.111027384
2010,0.0468925,0.066,"5,784,557,075",Edmonton,0.150919705,0.139015745
2010,0.0748392,0.074,"4,313,558,239",Ottawa,0.135985596,0.117390748
2011,0.1437892,0.071,"12,080,108,904",Calgary,0.141829889,0.11962678
2011,0.1557818,0.065,"8,261,931,734",Montreal,0.1537766,0.101134664
2011,0.12884,0.062,"29,716,846,909",Toronto,0.161942271,0.094735479
2011,0.1486144,0.061,"9,980,414,542",Vancouver,0.163656746,0.114177817
2011,0.0992682,0.068,"5,285,311,179",Edmonton,0.147109663,0.135577744
2011,0.1106449,0.068,"4,242,905,421",Ottawa,0.146606284,0.116815042
2012,0.2106013,0.063,"14,095,380,953",Calgary,0.157854193,0.126508015
2012,0.1342936,0.059,"9,415,453,190",Montreal,0.169189565,0.103699957
2012,0.1429747,0.058,"33,695,065,034",Toronto,0.171757266,0.098444228
2012,0.1350583,0.056,"12,203,918,421",Vancouver,0.177829625,0.115801527
2012,0.1688533,0.066,"5,680,921,175",Edmonton,0.1513047,0.138153004
2012,0.1198307,0.064,"6,074,501,477",Ottawa,0.15633794,0.117051268
2013,0.150475,0.056,"16,125,535,640",Calgary,0.178921924,0.128234108
2013,0.1185375,0.054,"10,493,706,453",Montreal,0.184689943,0.104772383
2013,0.1237993,0.056,"36,315,798,037",Toronto,0.179721324,0.100268786
2013,0.1094566,0.052,"13,584,878,956",Vancouver,0.193735373,0.115338857
2013,0.1440902,0.059,"6,193,298,592",Edmonton,0.168072029,0.138583757
2013,0.1178193,0.055,"7,130,926,072",Ottawa,0.182535047,0.117107107
2014,0.1097885,0.053,"18,266,394,276",Calgary,0.18895769,0.126973927
2014,0.065365,0.052,"10,567,527,416",Montreal,0.190543334,0.102055225
2014,0.0954626,0.053,"38,413,620,167",Toronto,0.186933009,0.099942276
2014,0.0886488,0.051,"14,851,652,736",Vancouver,0.196374148,0.113508862
2014,0.1001394,0.058,"7,087,737,209",Edmonton,0.173294007,0.135935426
2014,0.0573006,0.051,"7,441,676,559",Ottawa,0.197966096,0.112947615
2015,0.0647472,0.052,"18,975,079,874",Calgary,0.192501675,0.122917076
2015,0.0414667,0.051,"10,867,866,908",Montreal,0.195435793,0.098105641
2015,0.0909071,0.05,"42,554,408,902",Toronto,0.199564152,0.099366395
2015,0.0956329,0.048,"15,798,114,813",Vancouver,0.206393237,0.112365262
2015,0.0407562,0.059,"6,981,121,486",Edmonton,0.169313029,0.129641532
2015,0.0457257,0.052,"7,671,592,921",Ottawa,0.193713981,0.108553917
2016,-0.0090508,0.052,"17,494,190,434",Calgary,0.190808743,0.114566833
2016,0.0622167,0.05,"11,789,383,727",Montreal,0.201033715,0.095929384
2016,0.1121913,0.048,"46,756,783,065",Toronto,0.207201066,0.100127891
2016,0.1417598,0.046,"17,594,886,130",Vancouver,0.216935269,0.114098722
2016,0.0226323,0.059,"7,331,776,438",Edmonton,0.170268991,0.122949651
2016,0.0673971,0.048,"7,935,392,697",Ottawa,0.206186842,0.106052844
2017,-0.0034558,0.053,"22,679,955,696",Calgary,0.189596103,0.107560728
2017,0.0306923,0.048,"13,120,832,100",Montreal,0.20823182,0.092146664
2017,0.0973687,0.046,"56,944,912,804",Toronto,0.216006048,0.099972258
2017,0.1129006,0.044,"21,310,184,648",Vancouver,0.225665884,0.11403119
2017,-0.007103,0.057,"7,869,910,001",Edmonton,0.174809589,0.115189503
2017,0.0462322,0.049,"8,166,040,322",Ottawa,0.202208113,0.102593522
2018,-0.0018439,0.055,"22,039,069,225",Calgary,0.180226617,0.10143413
2018,0.0706462,0.044,"14,370,776,780",Montreal,0.22663095,0.090989149
2018,0.1094185,0.045,"62,204,409,925",Toronto,0.224494607,0.100474022
2018,0.0997713,0.043,"22,020,254,903",Vancouver,0.234715888,0.113266016
2018,0.0258919,0.057,"8,326,753,466",Edmonton,0.176112148,0.110236486
2018,0.0689594,0.049,"8,270,125,878",Ottawa,0.20208879,0.100773279
2019,0.0136472,0.056,"21,724,665,502",Calgary,0.177939742,0.096811802
2019,0.0805564,0.046,"15,147,235,641",Montreal,0.217745851,0.090458496
2019,0.103589,0.042,"70,685,209,319",Toronto,0.237424232,0.100631531
2019,0.0905457,0.042,"23,806,793,175",Vancouver,0.238814525,0.112104325
2019,0.0214,0.053,"8,454,420,540",Edmonton,0.18957346,0.105558148
2019,0.0696356,0.049,"7,865,415,016",Ottawa,0.202058164,0.09917512
2020,-0.0971196,0.054,"13,512,122,568",Calgary,0.185843553,0.086575064
2020,0.0054331,0.039,"14,467,599,334",Montreal,0.258474072,0.086200646
2020,0.0345175,0.039,"62,874,813,482",Toronto,0.259330047,0.097350504
2020,0.0270722,0.04,"19,842,256,275",Vancouver,0.248227038,0.107849415
2020,-0.069169,0.05,"6,981,365,557",Edmonton,0.200811681,0.09643041
2020,0.017941,0.046,"7,108,087,531",Ottawa,0.216241931,0.095115527
2021,-0.0327442,0.056,"14,176,871,173",Calgary,0.179988841,0.080779376
2021,0.0226401,0.036,"14,567,103,363",Montreal,0.280239212,0.083193501
2021,0.0510922,0.036,"65,649,763,143",Toronto,0.281358059,0.095179707
2021,0.0529673,0.041,"19,552,976,731",Vancouver,0.246142334,0.105264474
2021,-0.0003678,0.053,"6,727,194,768",Edmonton,0.187442127,0.091780962
2021,0.0371665,0.041,"7,370,314,294",Ottawa,0.24349088,0.092381539
2022,0.0126118,0.064,"12,899,944,211",Calgary,0.155465144,0.077688758
2022,0.0841794,0.041,"15,884,144,223",Montreal,0.246865426,0.083236818
2022,0.0956398,0.039,"71,258,492,428",Toronto,0.258643209,0.095199927
2022,0.0688904,0.04,"21,368,318,012",Vancouver,0.249742765,0.103639906
2022,0.0368682,0.054,"6,331,150,102",Edmonton,0.186581088,0.089307202
2022,0.0244989,0.044,"7,399,531,481",Ottawa,0.229386735,0.089305288
2023,0.0151816,0.066,"13,442,094,515",Calgary,0.151641289,0.074980873
2023,-0.0242684,0.044,"14,856,602,053",Montreal,0.225284083,0.078480075
2023,-0.0299757,0.042,"67,426,167,167",Toronto,0.23900745,0.089617335
2023,-0.0052733,0.042,"22,498,091,934",Vancouver,0.236218426,0.098822271
2023,0.008038,0.056,"6,374,635,777",Edmonton,0.177014648,0.085756765
2023,-0.0379336,0.044,"6,897,041,282",Ottawa,0.227125612,0.083623119
